Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area
LP001015,Male,Yes,0,Graduate,No,5720,0,110,360,1,Urban
LP001022,Male,Yes,1,Graduate,No,3076,1500,126,360,1,Urban
LP001031,Male,Yes,2,Graduate,No,5000,1800,208,360,1,Urban
LP001035,Male,Yes,2,Graduate,No,2340,2546,100,360,,Urban
LP001051,Male,No,0,Not Graduate,No,3276,0,78,360,1,Urban
LP001054,Male,Yes,0,Not Graduate,Yes,2165,3422,152,360,1,Urban
LP001055,Female,No,1,Not Graduate,No,2226,0,59,360,1,Semiurban
LP001056,Male,Yes,2,Not Graduate,No,3881,0,147,360,0,Rural
LP001059,Male,Yes,2,Graduate,,13633,0,280,240,1,Urban
LP001067,Male,No,0,Not Graduate,No,2400,2400,123,360,1,Semiurban
LP001078,Male,No,0,Not Graduate,No,3091,0,90,360,1,Urban
LP001082,Male,Yes,1,Graduate,,2185,1516,162,360,1,Semiurban
LP001083,Male,No,3+,Graduate,No,4166,0,40,180,,Urban
LP001094,Male,Yes,2,Graduate,,12173,0,166,360,0,Semiurban
LP001096,Female,No,0,Graduate,No,4666,0,124,360,1,Semiurban
LP001099,Male,No,1,Graduate,No,5667,0,131,360,1,Urban
LP001105,Male,Yes,2,Graduate,No,4583,2916,200,360,1,Urban
LP001107,Male,Yes,3+,Graduate,No,3786,333,126,360,1,Semiurban
LP001108,Male,Yes,0,Graduate,No,9226,7916,300,360,1,Urban
LP001115,Male,No,0,Graduate,No,1300,3470,100,180,1,Semiurban
LP001121,Male,Yes,1,Not Graduate,No,1888,1620,48,360,1,Urban
LP001124,Female,No,3+,Not Graduate,No,2083,0,28,180,1,Urban
LP001128,,No,0,Graduate,No,3909,0,101,360,1,Urban
LP001135,Female,No,0,Not Graduate,No,3765,0,125,360,1,Urban
LP001149,Male,Yes,0,Graduate,No,5400,4380,290,360,1,Urban
LP001153,Male,No,0,Graduate,No,0,24000,148,360,0,Rural
LP001163,Male,Yes,2,Graduate,No,4363,1250,140,360,,Urban
LP001169,Male,Yes,0,Graduate,No,7500,3750,275,360,1,Urban
LP001174,Male,Yes,0,Graduate,No,3772,833,57,360,,Semiurban
LP001176,Male,No,0,Graduate,No,2942,2382,125,180,1,Urban
LP001177,Female,No,0,Not Graduate,No,2478,0,75,360,1,Semiurban
LP001183,Male,Yes,2,Graduate,No,6250,820,192,360,1,Urban
LP001185,Male,No,0,Graduate,No,3268,1683,152,360,1,Semiurban
LP001187,Male,Yes,0,Graduate,No,2783,2708,158,360,1,Urban
LP001190,Male,Yes,0,Graduate,No,2740,1541,101,360,1,Urban
LP001203,Male,No,0,Graduate,No,3150,0,176,360,0,Semiurban
LP001208,Male,Yes,2,Graduate,,7350,4029,185,180,1,Urban
LP001210,Male,Yes,0,Graduate,Yes,2267,2792,90,360,1,Urban
LP001211,Male,No,0,Graduate,Yes,5833,0,116,360,1,Urban
LP001219,Male,No,0,Graduate,No,3643,1963,138,360,1,Urban
LP001220,Male,Yes,0,Graduate,No,5629,818,100,360,1,Urban
LP001221,Female,No,0,Graduate,No,3644,0,110,360,1,Urban
LP001226,Male,Yes,0,Not Graduate,No,1750,2024,90,360,1,Semiurban
LP001230,Male,No,0,Graduate,No,6500,2600,200,360,1,Semiurban
LP001231,Female,No,0,Graduate,No,3666,0,84,360,1,Urban
LP001232,Male,Yes,0,Graduate,No,4260,3900,185,,,Urban
LP001237,Male,Yes,,Not Graduate,No,4163,1475,162,360,1,Urban
LP001242,Male,No,0,Not Graduate,No,2356,1902,108,360,1,Semiurban
LP001268,Male,No,0,Graduate,No,6792,3338,187,,1,Urban
